Authors	Record Count	% of 1.857
Javaid N	16	0.862
Fouda MM	12	0.646
Ismail M	12	0.646
Serpedin E	11	0.592
Zhang L	11	0.592
Ahmed S	10	0.539
Badr MM	10	0.539
Dong ZY	10	0.539
Ibrahem MI	10	0.539
Mohammadi-ivatloo B	10	0.539
Alsabaan M	8	0.431
Islam MR	8	0.431
Liu Y	8	0.431
Mahmoud MMEA	8	0.431
Mohammadpourfard M	8	0.431
Sarigiannidis P	8	0.431
Yang H	8	0.431
Zhang Y	8	0.431
Hossain MS	7	0.377
Lee JM	7	0.377
Moradzadeh A	7	0.377
Nwakanma CI	7	0.377
Refaat SS	7	0.377
Takiddin A	7	0.377
Wang SY	7	0.377
Wang XY	7	0.377
Abu-mahfouz AM	6	0.323
Abu-rub H	6	0.323
Ahakonye LAC	6	0.323
Anwar A	6	0.323
Gadekallu TR	6	0.323
Khan S	6	0.323
Kim DS	6	0.323
Koo I	6	0.323
Kumar N	6	0.323
Li FY	6	0.323
Li J	6	0.323
Li L	6	0.323
Li M	6	0.323
Li Z	6	0.323
Liu YL	6	0.323
Mahmoud M	6	0.323
Mohammed O	6	0.323
Shi D	6	0.323
Siano P	6	0.323
Sun Y	6	0.323
Ullah I	6	0.323
Zhang N	6	0.323
Zhang ZY	6	0.323
Ahmed A	5	0.269
Aslam S	5	0.269
Choo KKR	5	0.269
Cui Y	5	0.269
Dehghantanha A	5	0.269
El Hariri M	5	0.269
El-toukhy AT	5	0.269
Ferrag MA	5	0.269
Genc I	5	0.269
Habaebi MH	5	0.269
Hossain MJ	5	0.269
Javed MU	5	0.269
Karimipour H	5	0.269
Khan MA	5	0.269
Kim S	5	0.269
Kim T	5	0.269
Li Q	5	0.269
Li WT	5	0.269
Li X	5	0.269
Liu B	5	0.269
Liu Q	5	0.269
Ma Y	5	0.269
Radoglou-grammatikis P	5	0.269
Ren C	5	0.269
Saeedi E	5	0.269
Sanchez EN	5	0.269
Sriram VSS	5	0.269
Srivastava A	5	0.269
Srivastava G	5	0.269
Venayagamoorthy GK	5	0.269
Wang J	5	0.269
Wang JH	5	0.269
Wang M	5	0.269
Wang X	5	0.269
Wang ZW	5	0.269
Wen H	5	0.269
Wu L	5	0.269
Wu Y	5	0.269
Xu Y	5	0.269
Yu H	5	0.269
Zhang H	5	0.269
Zhang J	5	0.269
Abid MR	4	0.215
Almasoudi FM	4	0.215
Balla A	4	0.215
Benbouzid M	4	0.215
Benhaddou D	4	0.215
Berghout T	4	0.215
Bhattacharya P	4	0.215
Bouhali O	4	0.215
Boyaci O	4	0.215
Bretas A	4	0.215
Catak FO	4	0.215
Chen B	4	0.215
Chen C	4	0.215
Chen H	4	0.215
Chen J	4	0.215
Chen X	4	0.215
Cruz T	4	0.215
Dabbaghjamanesh M	4	0.215
Davis KR	4	0.215
Dehghanian P	4	0.215
Diaba SY	4	0.215
Diao RS	4	0.215
Elgarhy I	4	0.215
Farag HEZ	4	0.215
Gao F	4	0.215
Gao J	4	0.215
Ghadi YY	4	0.215
He X	4	0.215
Hou WJ	4	0.215
Hyun SH	4	0.215
Islam S	4	0.215
Kassouf M	4	0.215
Kim K	4	0.215
Konstantinou C	4	0.215
Lakshminarayana S	4	0.215
Lee Y	4	0.215
Li H	4	0.215
Li Y	4	0.215
Li YC	4	0.215
Liu C	4	0.215
Liu H	4	0.215
Liu J	4	0.215
Liu JY	4	0.215
Mcnair J	4	0.215
Mendis GJ	4	0.215
Moayyed H	4	0.215
Moustafa N	4	0.215
Mubarak S	4	0.215
Nagaraj K	4	0.215
Ouahada K	4	0.215
Oyucu S	4	0.215
Park JH	4	0.215
Park S	4	0.215
Priyanga S	4	0.215
Qiu RC	4	0.215
Razavi-far R	4	0.215
Saif M	4	0.215
Sheldon FT	4	0.215
Shukla S	4	0.215
Simonov M	4	0.215
Sun J	4	0.215
Syed D	4	0.215
Tang Y	4	0.215
Tanwar S	4	0.215
Ustun TS	4	0.215
Vale Z	4	0.215
Wang B	4	0.215
Wang F	4	0.215
Wang G	4	0.215
Wang S	4	0.215
Wang W	4	0.215
Wang XL	4	0.215
Wang Y	4	0.215
Wang ZH	4	0.215
Weng Y	4	0.215
Yang W	4	0.215
Yau DKY	4	0.215
Ye J	4	0.215
Youssef A	4	0.215
Zhang B	4	0.215
Zhang F	4	0.215
Zhao J	4	0.215
Zheng J	4	0.215
Adnan M	3	0.162
Aftowicz M	3	0.162
Ahmed CM	3	0.162
Ahmed M	3	0.162
Ai Q	3	0.162
Alasmary W	3	0.162
Aldhyani THH	3	0.162
Alhelou HH	3	0.162
Ali A	3	0.162
Ali M	3	0.162
Alimi OA	3	0.162
Aljohani AJ	3	0.162
Aljohani N	3	0.162
Almalawi A	3	0.162
Asif M	3	0.162
Aslam Z	3	0.162
Atat R	3	0.162
Aurangzeb K	3	0.162
Bhattacharjee S	3	0.162
Bhutta MS	3	0.162
Boulet B	3	0.162
Bouyeddou B	3	0.162
Bretas AS	3	0.162
Bu SQ	3	0.162
Byun YC	3	0.162
Cali U	3	0.162
Chakhchoukh Y	3	0.162
Chebak A	3	0.162
Chelmis C	3	0.162
Chen T	3	0.162
Chen Y	3	0.162
Cheng L	3	0.162
Chu L	3	0.162
Chung CY	3	0.162
Das SK	3	0.162
Das TK	3	0.162
Debbabi M	3	0.162
Dehghani M	3	0.162
Deka D	3	0.162
Ding LJ	3	0.162
Dyka Z	3	0.162
Efstathopoulos G	3	0.162
El-saadany EF	3	0.162
Elmusrati M	3	0.162
Elsheikh EAA	3	0.162
Fahad A	3	0.162
Feng CL	3	0.162
Fournaris AP	3	0.162
Ghafouri M	3	0.162
Ghosh S	3	0.162
Giannakis GB	3	0.162
Gooi HB	3	0.162
Guerrero JM	3	0.162
Haq I	3	0.162
Harmon E	3	0.162
Harrou F	3	0.162
Hasan MK	3	0.162
Hassan MM	3	0.162
Hatziargyriou ND	3	0.162
Hong S	3	0.162
Hu AJ	3	0.162
Hu CQ	3	0.162
Huang H	3	0.162
Huang XB	3	0.162
Huda S	3	0.162
Hussain SMS	3	0.162
Hwang WJ	3	0.162
Infield D	3	0.162
Iqbal S	3	0.162
Jahangir H	3	0.162
Jain R	3	0.162
Jiang DX	3	0.162
Jiang J	3	0.162
Jillepalli AA	3	0.162
Johnson BK	3	0.162
Johnson J	3	0.162
Kabin I	3	0.162
Kalech M	3	0.162
Karanfil M	3	0.162
Karimi M	3	0.162
Kaur K	3	0.162
Kavousi-fard A	3	0.162
Khadidos AO	3	0.162
Khalili A	3	0.162
Khan AA	3	0.162
Khan IA	3	0.162
Khan L	3	0.162
Khan PW	3	0.162
Khazaei J	3	0.162
Kholidy HA	3	0.162
Kim J	3	0.162
Kolhe ML	3	0.162
Kong Y	3	0.162
Kong YA	3	0.162
Krishnan VVG	3	0.162
Kumar R	3	0.162
Kundur D	3	0.162
Lagkas T	3	0.162
Lan T	3	0.162
Langendoerfer P	3	0.162
Lei WX	3	0.162
Li HF	3	0.162
Li HW	3	0.162
Li JL	3	0.162
Li K	3	0.162
Li P	3	0.162
Li QQ	3	0.162
Li T	3	0.162
Li W	3	0.162
Li YT	3	0.162
Liu CY	3	0.162
Liu JR	3	0.162
Liu R	3	0.162
Liu YY	3	0.162
Liu Z	3	0.162
Lou Y	3	0.162
Luitel B	3	0.162
Maddikunta PKR	3	0.162
Mahmood A	3	0.162
Marzband M	3	0.162
Mathur A	3	0.162
Mazhar T	3	0.162
Mcwhinnie J	3	0.162
Milyani AH	3	0.162
Moazeni F	3	0.162
Moradpoor N	3	0.162
Mukhtar N	3	0.162
Muyeen SM	3	0.162
Narimani MR	3	0.162
Niyato D	3	0.162
Pamir	3	0.162
Pan H	3	0.162
Pandit RK	3	0.162
Parizad A	3	0.162
Park K	3	0.162
Park Y	3	0.162
Pham QV	3	0.162
Polat H	3	0.162
Polat O	3	0.162
Poor HV	3	0.162
Prasanna VK	3	0.162
Pu TJ	3	0.162
Qi RB	3	0.162
Rahman MA	3	0.162
Reka SS	3	0.162
Robles-durazno A	3	0.162
Rong CM	3	0.162
Russell G	3	0.162
Sarwat AI	3	0.162
Sengan S	3	0.162
Shaaban MF	3	0.162
Shafie-khah M	3	0.162
Sharma A	3	0.162
Sharma R	3	0.162
Shojafar M	3	0.162
Sikdar B	3	0.162
Singh S	3	0.162
Sitnikova E	3	0.162
Song WZ	3	0.162
Srivastava AK	3	0.162
Subramaniyaswamy V	3	0.162
Sun W	3	0.162
Tafazolli R	3	0.162
Tan R	3	0.162
Tari Z	3	0.162
Tjernberg LB	3	0.162
Türkoglu M	3	0.162
Ullah A	3	0.162
Ullah Z	3	0.162
Venugopal P	3	0.162
Wang H	3	0.162
Wang L	3	0.162
Wang Q	3	0.162
Wang TJ	3	0.162
Wang XS	3	0.162
Wang YX	3	0.162
Wu D	3	0.162
Wu JS	3	0.162
Wu SJ	3	0.162
Wu YH	3	0.162
Xia XF	3	0.162
Xiang L	3	0.162
Xiao Y	3	0.162
Xie R	3	0.162
Xu L	3	0.162
Yahaya AS	3	0.162
Yan J	3	0.162
Yang F	3	0.162
Yang M	3	0.162
Yang Q	3	0.162
Yang QY	3	0.162
Yin LF	3	0.162
Yin SS	3	0.162
Youssef T	3	0.162
Yu S	3	0.162
Yu XH	3	0.162
Zainab A	3	0.162
Zare A	3	0.162
Zhang C	3	0.162
Zhang K	3	0.162
Zhang M	3	0.162
Zhang Q	3	0.162
Zhang XS	3	0.162
Zhang ZJ	3	0.162
Zhao JH	3	0.162
Zhao L	3	0.162
Zhu YH	3	0.162
Zolanvari M	3	0.162
Zou S	3	0.162
Abbas S	2	0.108
Abdallah M	2	0.108
Abdelmoula IA	2	0.108
Abdulaal M	2	0.108
Abou Houran M	2	0.108
Abubakar M	2	0.108
Addeen HH	2	0.108
Adepu S	2	0.108
Aguado JA	2	0.108
Ahmad A	2	0.108
Ahmad F	2	0.108
Ahmad J	2	0.108
Ahmad Z	2	0.108
Ahmed F	2	0.108
Ahn B	2	0.108
Aksoz A	2	0.108
Al Shloul T	2	0.108
Al-kuwari S	2	0.108
Alani MM	2	0.108
Alatawi KSS	2	0.108
Alazab M	2	0.108
Albarakati A	2	0.108
Albaseer A	2	0.108
Albuquerque C	2	0.108
Aldegheishem A	2	0.108
Algarni F	2	0.108
Alhussein M	2	0.108
Ali MH	2	0.108
Ali S	2	0.108
Alim ME	2	0.108
Alimi KOA	2	0.108
Alkahtani H	2	0.108
Almasabi S	2	0.108
Almogren A	2	0.108
Almutairy F	2	0.108
Alotaibi SS	2	0.108
Alrajeh N	2	0.108
Alroobaea R	2	0.108
Alshahrani H	2	0.108
Alsirhani A	2	0.108
Alsolami F	2	0.108
Alsuwian T	2	0.108
Alyami S	2	0.108
Alyoubi KH	2	0.108
Aman MN	2	0.108
Aman S	2	0.108
Amin BMR	2	0.108
Anghel I	2	0.108
Arani MFM	2	0.108
Arifin MAS	2	0.108
Artigao E	2	0.108
Arunagirinathan P	2	0.108
Ashary EB	2	0.108
Ashraf I	2	0.108
Ashrafuzzaman M	2	0.108
Asok P	2	0.108
Asrari A	2	0.108
Astolfi D	2	0.108
Aujla GS	2	0.108
Awais M	2	0.108
Ayad A	2	0.108
Azam M	2	0.108
Aksöz A	2	0.108
Aragüés-peñalba M	2	0.108
Arévalo P	2	0.108
Bai FF	2	0.108
Balducelli C	2	0.108
Bangalore P	2	0.108
Basit A	2	0.108
Batina L	2	0.108
Bayne SB	2	0.108
Beauseroy P	2	0.108
Beaver JM	2	0.108
Beg OA	2	0.108
Bere G	2	0.108
Bertone F	2	0.108
Bessa RJ	2	0.108
Bhattacharya S	2	0.108
Bian DS	2	0.108
Blaabjerg F	2	0.108
Blackburn LD	2	0.108
Blasch E	2	0.108
Blazakis K	2	0.108
Bokoro PN	2	0.108
Bonacina F	2	0.108
Bondok AH	2	0.108
Bouzi M	2	0.108
Breslin JG	2	0.108
Bretschneider P	2	0.108
Buckner MA	2	0.108
Budiarto R	2	0.108
Buric M	2	0.108
Buschendorf F	2	0.108
Caldeira F	2	0.108
Camarda C	2	0.108
Cao X	2	0.108
Carroll J	2	0.108
Castangia M	2	0.108
Celestino J	2	0.108
Cepeda JC	2	0.108
Chakraborty C	2	0.108
Chakraborty S	2	0.108
Chan S	2	0.108
Chavez A	2	0.108
Che YB	2	0.108
Chen GR	2	0.108
Chen HR	2	0.108
Chen LM	2	0.108
Chen N	2	0.108
Chen P	2	0.108
Chen YZ	2	0.108
Chen Z	2	0.108
Cheng YS	2	0.108
Chertkov M	2	0.108
Choi WH	2	0.108
Choi YK	2	0.108
Chow MY	2	0.108
Chuah MC	2	0.108
Cioara T	2	0.108
Corsini A	2	0.108
Cui JT	2	0.108
Cui L	2	0.108
Cañizares CA	2	0.108
Colomé DG	2	0.108
Damiani E	2	0.108
Das AK	2	0.108
Das R	2	0.108
Dash PK	2	0.108
Davidrajuh R	2	0.108
Davis K	2	0.108
De Leon DC	2	0.108
Deepa N	2	0.108
Desmet W	2	0.108
Dimopoulos C	2	0.108
Ding YC	2	0.108
Dinh MC	2	0.108
Djilali L	2	0.108
Dong CY	2	0.108
Dong XD	2	0.108
Donnot B	2	0.108
Doss R	2	0.108
Dragicevic T	2	0.108
Du DJ	2	0.108
Du J	2	0.108
Du YH	2	0.108
El Aroussi M	2	0.108
El Hadraoui H	2	0.108
Engel D	2	0.108
Epiphaniou G	2	0.108
Essaaidi M	2	0.108
Eziama E	2	0.108
Faheem M	2	0.108
Fang F	2	0.108
Fei MR	2	0.108
Foo E	2	0.108
Fortino G	2	0.108
Frincu M	2	0.108
Gan LY	2	0.108
Gao W	2	0.108
Gaska K	2	0.108
Generowicz A	2	0.108
Ghassemzadeh S	2	0.108
Ghorbani R	2	0.108
Ghrayeb A	2	0.108
Giannoulakis I	2	0.108
Girmay AA	2	0.108
Goga K	2	0.108
Golshan MEH	2	0.108
Gomilanovic M	2	0.108
Gope P	2	0.108
Gouveia C	2	0.108
Govindarasu M	2	0.108
Goyel H	2	0.108
Grammatikis PR	2	0.108
Grimaccia F	2	0.108
Gryllias K	2	0.108
Guan SP	2	0.108
Gui WH	2	0.108
Gumaei A	2	0.108
Guo L	2	0.108
Guo LL	2	0.108
Guo Y	2	0.108
Gupta R	2	0.108
Gupta S	2	0.108
Gómez-lázaro E	2	0.108
Górriz JM	2	0.108
Habib H	2	0.108
Habib HF	2	0.108
Hadjidj R	2	0.108
Hagenmeyer V	2	0.108
Hahn A	2	0.108
Hakak S	2	0.108
Halden U	2	0.108
Hallaji E	2	0.108
Hamam H	2	0.108
Han T	2	0.108
Han W	2	0.108
Han Y	2	0.108
Hancke GP	2	0.108
Harish A	2	0.108
Hashim M	2	0.108
Hatziadoniu C	2	0.108
He HB	2	0.108
He Q	2	0.108
He YB	2	0.108
He YW	2	0.108
He ZW	2	0.108
Henriques J	2	0.108
Honeine P	2	0.108
Hong F	2	0.108
Hong JH	2	0.108
Hou J	2	0.108
Hsieh JY	2	0.108
Hsu HY	2	0.108
Hu B	2	0.108
Hu G	2	0.108
Hu H	2	0.108
Hu J	2	0.108
Hu JK	2	0.108
Hu JL	2	0.108
Hu QL	2	0.108
Hu R	2	0.108
Hua WQ	2	0.108
Huang B	2	0.108
Huang JJ	2	0.108
Huang KK	2	0.108
Huang Q	2	0.108
Huang XY	2	0.108
Huangfu HC	2	0.108
Hussain S	2	0.108
Hussain T	2	0.108
Hussain Y	2	0.108
Idris MY	2	0.108
Iliadis L	2	0.108
Imran M	2	0.108
Indo K	2	0.108
Iqbal M	2	0.108
Irfan HM	2	0.108
Irfan M	2	0.108
Ismail R	2	0.108
Iwendi C	2	0.108
Jafari A	2	0.108
Jafari M	2	0.108
Jagtap SS	2	0.108
Jahromi AA	2	0.108
Jaiswal R	2	0.108
Javed AR	2	0.108
Ji C	2	0.108
Jia HJ	2	0.108
Jiang AX	2	0.108
Jiang F	2	0.108
Jiang H	2	0.108
Jiang YX	2	0.108
Jiang ZH	2	0.108
Jin JY	2	0.108
Jindal A	2	0.108
Jo JY	2	0.108
Jolfaei A	2	0.108
Joshi A	2	0.108
Jung S	2	0.108
Jurado F	2	0.108
Kabir B	2	0.108
Kafetzakis E	2	0.108
Kalam A	2	0.108
Kamwa I	2	0.108
Kannan R	2	0.108
Kantarci B	2	0.108
Karacayilmaz G	2	0.108
Katsigiannis Y	2	0.108
Keshk M	2	0.108
Kezunovic M	2	0.108
Khalid M	2	0.108
