id	organization	documents	citations	total link strength
1	0 infin ltd	1	78	61
2	0infin ltd	1	9	20
3	24sea	1	0	0
4	626 cochrans mill rd	1	0	0
5	8 guangrong rd	1	1	0
6	900 north glebe rd	1	11	5
7	aalborg univ	12	457	120
8	aalen univ	1	0	12
9	aalto univ	3	1	0
10	aarhus univ	3	51	2
11	aarupadai veedu inst technol	1	34	3
12	abasyn univ	1	11	22
13	abb corp res sweden	1	18	10
14	abb power grids spain sau	1	6	9
15	abbottabad univ sci & technol	1	10	0
16	abdelmalek essaadi univ	2	45	4
17	abdul wali khan univ mardan	1	13	7
18	abdullah gul univ	2	48	33
19	aberystwyth univ	1	1	2
20	abou bakr belkaid univ tlemcen	1	51	35
21	abou bekr belkaid univ	2	43	53
22	abu dhabi polytech	1	16	24
23	acad cryptog tech	1	0	0
24	academia	1	0	1
25	adams state univ	1	3	0
26	adani inst infrastruct engn	1	110	13
27	addis ababa sci & technol univ	1	5	0
28	addis ababa univ	1	5	0
29	adichunchanagiri univ	1	0	0
30	aditya coll engn	1	1	0
31	aditya engn coll	1	0	0
32	adiyaman univ	2	7	31
33	admiral makarov state univ maritime & inland ship	1	2	0
34	adnet doo	1	6	0
35	adsc	1	34	4
36	adv digital sci ctr	2	4	1
37	adv micro devices amd	1	3	0
38	adv technol inst	1	1	0
39	adıyaman univ	1	4	22
40	af engn univ	1	13	38
41	afyon kocatepe univ	1	1	0
42	agcy sci technol & res	1	2	0
43	agfw projektgesellschaft rationalisierung	1	14	2
44	agh univ krakow	2	3	5
45	agh univ sci & technol	3	12	32
46	agni coll technol	1	24	18
47	ahmed bin mohammed mil coll abmmc	1	3	43
48	ahsanullah univ sci & technol	1	22	0
49	ain shams univ	8	21	169
50	air force engn univ	1	13	38
51	air force med univ	1	40	0
52	air force res lab	3	30	17
53	air force res lab afrl	1	0	0
54	air univ	6	92	53
55	air univ islamabad	1	41	44
56	aist frea	1	11	6
57	ait austrian inst technol	1	8	2
58	aitia	1	4	6
59	ajeenkya dy patil univ	1	8	0
60	ajou univ	2	40	32
61	al ain univ	4	39	105
62	al akhawayn univ	1	58	5
63	al al bayt univ	2	11	28
64	al azhar univ	7	39	259
65	al baha univ	2	8	14
66	al farabi kazakh natl univ	1	0	2
67	al farahidi univ	1	0	0
68	al kitab univ	1	0	0
69	al majmaah univ	1	3	12
70	al mustaqbal univ coll	1	2	0
71	al muthanna univ	2	13	4
72	al nahrain univ baghdad	1	8	2
73	alagappa chettiar govt coll engn & technol	1	5	0
74	alakhawayn univ	1	1	5
75	alakhawayn univ ifrane	2	49	0
76	alayan univ	1	0	0
77	albaha univ	1	3	20
78	alberta machine intelligence inst amii	1	8	0
79	alee bibliotheque univ laval	1	8	0
80	aletheia univ	1	0	0
81	alfaisal univ	1	3	0
82	alibaba cloud	1	8	13
83	aligarh muslim univ	1	1	0
84	alliander nv	1	1	0
85	alma sistemi srl	1	1	0
86	alpen adria univ klagenfurt	1	0	0
87	altinbas univ	1	0	0
88	amer univ	1	34	4
89	amer univ beirut	2	13	12
90	amer univ middle east	1	1	9
91	amer univ nigeria	1	3	4
92	amer univ sharjah	3	5	24
93	amirkabir univ	1	7	2
94	amirkabir univ technol	2	45	26
95	amity univ	1	0	4
96	amity univ maharashtra	1	6	3
97	amity univ uttar pradesh	2	21	0
98	amprion gmbh	1	2	0
99	amrita coll engn & technol	1	0	1
100	amrita univ	1	41	29
101	amrita vishwa vidyapeetha	1	80	19
102	amrita vishwa vidyapeetham	4	82	66
103	amtech elect i ltd	1	0	0
104	anderson univ	1	1	17
105	anhui agr univ	1	3	0
106	anhui univ	1	10	3
107	ankara univ	1	3	0
108	anna univ	7	25	9
109	apa grp	1	1	2
110	apj abdul kalam technol univ	2	3	5
111	appl commun sci	1	1	0
112	appl sci private univ	3	45	9
113	arab acad sci technol & maritime transport	1	5	3
114	argonne natl lab	4	289	195
115	aristotle univ thessaloniki	1	1	1
116	arizona state univ	5	98	37
117	arkansas state univ	4	128	72
118	army engn univ pla	1	1	0
119	artificial intelligence engineer intel	1	2	1
120	ashesi univ	1	0	0
121	asia univ	3	148	23
122	ask solut ec	1	0	0
123	assam sci & technol univ	1	1	14
124	assam town univ	1	1	14
125	assiut univ	2	30	23
126	associated lab intelligent syst lasi	1	3	2
127	astana int univ	1	1	2
128	astana it univ	1	0	2
129	aston univ	1	13	0
130	astrakhan state tech univ	1	3	0
131	aswan univ	1	3	0
132	athabasca univ	1	13	43
133	atheeb intergraph saudi co aisc	1	2	0
134	atilim univ	1	0	5
135	atis soluc & seguridad	1	0	0
