Affiliation with Department	Record Count	% of 1.857
Aalborg University Department Of Electronic Systems	2	0.108
Aalborg University Department Of Energy Technology	6	0.323
Aalborg University Faculty Of Engineering And Science	9	0.485
Aalto University Department Of Computer Science	1	0.054
Aalto University Department Of Electrical Engineering And Automation	1	0.054
Aalto University School Of Electrical Engineering	1	0.054
Aalto University School Of Science	1	0.054
Aarhus School Of Business	1	0.054
Aarhus University Department Of Business Development And Technology	1	0.054
Aarhus University Department Of Computer Science	1	0.054
Aarhus University Faculty Of Natural Sciences	1	0.054
Abdelmalek Essaadi University Faculty Of Science	1	0.054
Aberystwyth University Department Of Computer Science	1	0.054
Agh University Of Science And Technology Department Of Telecommunications	1	0.054
Agh University Of Science And Technology Faculty Of Computer Science Electronics And Telecommunications	1	0.054
Agh University Of Science And Technology Faculty Of Electrical Engineering Automatics Computer Science And Biomedical Engineering	1	0.054
Ain Shams University Faculty Of Computer And Information Science	4	0.215
Ain Shams University Faculty Of Engineering	1	0.054
Ajou University College Of Information Technology	1	0.054
Al Azhar University Faculty Of Engineering	4	0.215
Alfaisal University College Of Engineering	1	0.054
Amirkabir University Of Technology Department Of Electrical Engineering	2	0.108
Amity University Amity School Of Engineering And Technology	1	0.054
Amrita Vishwa Vidyapeetham Amrita School Of Engineering	3	0.162
Arab Academy For Science Technology And Maritime Transport College Of Engineering And Technology	1	0.054
Arizona State University Ira A Fulton Schools Of Engineering	5	0.269
Arizona State University School Of Electrical Computer And Energy Engineering	4	0.215
Arizona State University School Of Sustainable Engineering And The Built Environment	1	0.054
Aston University College Of Engineering And Physical Sciences	1	0.054
Aston University School Of Engineering And Technology	1	0.054
Auckland University Of Technology Electrical And Electronic Engineering Department	1	0.054
Auckland University Of Technology Faculty Of Design And Creative Technologies	1	0.054
Autonomous University Of Yucatan Faculty Of Engineering	1	0.054
Bahauddin Zakariya University Faculty Of Science	1	0.054
Bahauddin Zakariya University Institute Of Computing	1	0.054
Beihang University School Of Computer Science And Engineering	1	0.054
Beihang University School Of Electronic And Information Engineering	1	0.054
Beijing Institute Of Technology School Of Computer Science And Technology	2	0.108
Beijing Institute Of Technology School Of Information And Electronics	1	0.054
Beijing Institute Of Technology School Of Mechanical Engineering	1	0.054
Beijing Jiaotong University School Of Computer And Information Technology	1	0.054
Beijing Jiaotong University School Of Electrical Engineering	1	0.054
Beijing Jiaotong University School Of Mechanical Electronic And Control Engineering	2	0.108
Beijing Key Laboratory Of Network System Architecture And Convergence	1	0.054
Beijing University Of Posts And Telecommunications Institute Of Information Photonics And Optical Communications	2	0.108
Beijing University Of Posts And Telecommunications Institute Of Network Technology	3	0.162
Beijing University Of Posts And Telecommunications School Of Information And Communication Engineering	1	0.054
Beijing University Of Technology Faculty Of Information Technology	2	0.108
Ben Gurion University Of The Negev Cyber Security Research Center	2	0.108
Ben Gurion University Of The Negev Department Of Software And Information Systems Engineering	1	0.054
Ben Gurion University Of The Negev Faculty Of Engineering Sciences	1	0.054
Benha University Faculty Of Engineering At Shoubra	12	0.646
Birmingham City University Faculty Of Computing Engineering And The Built Environment	1	0.054
Birmingham City University School Of Computing And Digital Technology	1	0.054
Bogazici University Department Of Electrical And Electronics Engineering	1	0.054
Bogazici University Faculty Of Engineering	1	0.054
Brunel University London College Of Engineering Design And Physical Sciences	1	0.054
Budapest University Of Technology And Economics Faculty Of Electrical Engineering And Informatics	1	0.054
California Institute For Telecommunications And Information Technology	1	0.054
Campinas State University Electrical Engineering And Computing Faculty	2	0.108
Cardiff University College Of Physical Sciences And Engineering	6	0.323
Cardiff University School Of Computer Science And Informatics	2	0.108
Cardiff University School Of Engineering	4	0.215
Carl Von Ossietzky University Of Oldenburg School Of Computing Science Business Administration Economics And Law	1	0.054
Carl Von Ossietzky University Oldenburg Department Of Computer Science	1	0.054
Carleton University Department Of Electronics	1	0.054
Carleton University Faculty Of Engineering And Design	1	0.054
Carleton University Sprott School Of Business	1	0.054
Central Queensland University Centre For Intelligent Systems	1	0.054
Central Queensland University School Of Engineering And Technology	2	0.108
Central South University School Of Automation	2	0.108
Centre D Etudes Et De Recherche En Thermique Environnement Et Systemes	1	0.054
Chalmers University Of Technology Department Of Electrical Engineering	1	0.054
Chang An University School Of Automobile	1	0.054
Chang An University School Of Electronic Control	1	0.054
Chengdu University Of Technology College Of Nuclear Technology And Automation Engineering	1	0.054
China Agricultural University College Of Information And Electrical Engineering	1	0.054
China Three Gorges University College Of Electrical Engineering And New Energy	2	0.108
Chitkara Institute Of Engineering And Technology	1	0.054
Chongqing University College Of Computer Science	1	0.054
Chongqing University College Of Mechanical Engineering	1	0.054
Chongqing University Faculty Of Built Environment	1	0.054
Chongqing University Faculty Of Engineering	6	0.323
Chongqing University Faculty Of Information Science	4	0.215
Chongqing University Of Posts And Telecommunications College Of Computer Science And Technology	1	0.054
Chongqing University Of Posts And Telecommunications School Of Automation	3	0.162
Chongqing University School Of Automation	1	0.054
Chongqing University School Of Economics And Business Administration	1	0.054
Chongqing University School Of Electrical Engineering	5	0.269
Chongqing University School Of Management Science And Real Estate	1	0.054
Chongqing University School Of Software Engineering	3	0.162
Chongqing University State Key Laboratory Of Mechanical Transmission	1	0.054
Chongqing University State Key Laboratory Of Power Transmission Equipment And System Security And New Technology	2	0.108
Chosun University College Of It Convergence	1	0.054
Chosun University Department Of Information And Communication Engineering	1	0.054
Chouaib Doukkali University Faculty Of Sciences	2	0.108
Chulalongkorn University Department Of Electrical Engineering	1	0.054
Chulalongkorn University Faculty Of Engineering	1	0.054
City University Of Hong Kong College Of Engineering	7	0.377
City University Of Hong Kong Department Of Computer Science	4	0.215
City University Of Hong Kong Department Of Electronic Engineering	3	0.162
City University Of Hong Kong School Of Data Science	1	0.054
City University Of Hong Kong School Of Energy And Environment	1	0.054
Coimbatore Institute Of Technology Department Of Computer Science And Engineering	1	0.054
Comillas Pontifical University Icai School Of Engineering	1	0.054
Concordia University Gina Cody School Of Engineering And Computer Science	2	0.108
Cooperative Institute For Research In Environmental Sciences	2	0.108
Covenant University College Of Engineering	2	0.108
Covenant University Mechanical Engineering Department	1	0.054
Curtin University Faculty Of Science And Engineering	1	0.054
Curtin University School Of Electrical Engineering Computing And Mathematical Sciences	1	0.054
Cyprus University Of Technology Department Of Electrical Engineering Computer Engineering And Informatics	4	0.215
Cyprus University Of Technology Faculty Of Engineering And Technology	4	0.215
Czech Technical University In Prague Faculty Of Electrical Engineering	1	0.054
Dalhousie University Department Of Electrical And Computer Engineering	1	0.054
Dalhousie University Faculty Of Computer Science	1	0.054
Dalhousie University Faculty Of Engineering	1	0.054
Dalian University Of Technology Faculty Of Electronic Information And Electrical Engineering	1	0.054
De Montfort University Faculty Of Computing Engineering And Media	4	0.215
De Montfort University School Of Computer Science And Informatics	4	0.215
Deakin University Faculty Of Science Engineering And Built Environment	12	0.646
Deakin University School Of Engineering	3	0.162
Deakin University School Of Information Technology	10	0.539
Delhi Technological University Department Of Electrical Engineering	1	0.054
Democritus University Of Thrace Department Of Civil Engineering	1	0.054
Democritus University Of Thrace Department Of Electrical And Computer Engineeirng	1	0.054
Democritus University Of Thrace Department Of Production And Management Engineering	1	0.054
Democritus University Of Thrace School Of Engineering	3	0.162
Department Of Computer Science And Engineering	1	0.054
Department Of Mathematical Sciences	1	0.054
Dokuz Eylül University The Graduate School Of Natural And Applied Sciences	1	0.054
Durham University Department Of Engineering	2	0.108
Durham University Faculty Of Science	2	0.108
Eastman Institute For Oral Health	1	0.054
Edge Hill University Department Of Computer Science	1	0.054
Edge Hill University Faculty Of Arts And Sciences	1	0.054
Edinburgh Napier University School Of Computing	5	0.269
Edinburgh Napier University School Of Engineering And The Built Environment	3	0.162
Edith Cowan University School Of Engineering	1	0.054
Edith Cowan University School Of Science	2	0.108
Effat University College Of Engineering	2	0.108
Estonian University Of Life Sciences Institute Of Technology	1	0.054
Eth Zurich Computational Social Science	1	0.054
Eth Zurich Department Of Humanities Social And Political Sciences	1	0.054
Eth Zurich Department Of Mechanical And Process Engineering	1	0.054
Eth Zurich Institute Of Energy And Process Engineering	1	0.054
Ets De Ingenieros De Telecomunicacion	1	0.054
Federal University Of Minas Gerais Department Of Electronic Engineering	1	0.054
Federal University Of Minas Gerais School Of Engineering	1	0.054
Federal University Of Para Institute Of Technology	1	0.054
Federal University Of Rio Grande Do Sul Computing Institute	1	0.054
Feng Chia University College Of Information And Electrical Engineering	1	0.054
Feng Chia University Department Of Information Engineering And Computer Science	1	0.054
Flinders University College Of Science And Engineering	2	0.108
Florida A M University Florida State University College Of Engineering	2	0.108
Florida International University College Of Engineering Computing	12	0.646
Florida International University School Of Electrical Computer And Enterprise Engineering	12	0.646
Fordham University Department Of Computer And Information Science	1	0.054
Fudan University Department Of Aeronautics And Astronautics	1	0.054
Fudan University Department Of Mechanics And Engineering Science	1	0.054
Fudan University School Of Computer Science	1	0.054
Fudan University School Of Information Science And Engineering	1	0.054
Fudan University School Of Microelectronics	1	0.054
Fudan University State Key Laboratory Of Asic And System	1	0.054
Future University Faculty Of Computers And Information Technology	1	0.054
Future University Faculty Of Engineering And Technology	2	0.108
Fuzhou University College Of Computer And Data Science Software	1	0.054
Fuzhou University Department Of Computer Science And Technology	1	0.054
Gazi University Faculty Of Technology	3	0.162
Georgia Institute Of Technology College Of Engineering	1	0.054
Georgia Institute Of Technology H Milton Stewart School Of Industrial And Systems Engineering	1	0.054
